reference Smarter;reference SunDevice;IDP;Model;Capacity;Color;Grade
27-GOL7440;;72581;iPhone 6s Plus;32;Gold;C
27-GOL7441;;18407;iPhone 6s Plus;64;Gold;C
27-GOL7442;;43898;iPhone 6s Plus;128;Gold;C
27-GOL7455;;32495;iPhone 6s Plus;16;Gold;D
27-GOL7456;;72582;iPhone 6s Plus;32;Gold;D
27-GOL7457;;41226;iPhone 6s Plus;64;Gold;D
27-GOL7458;;43900;iPhone 6s Plus;128;Gold;D
27-MED7415;;31183;iPhone 6s Plus;16;Silver;B
27-MED7416;;72584;iPhone 6s Plus;32;Silver;B
27-MED7417;;36316;iPhone 6s Plus;64;Silver;B
27-MED7418;;43889;iPhone 6s Plus;128;Silver;B
27-MED7419;;31197;iPhone 6s Plus;16;Grey;B
27-MED7420;;72567;iPhone 6s Plus;32;Grey;B
27-MED7421;;35450;iPhone 6s Plus;64;Grey;B
27-MED7422;;43910;iPhone 6s Plus;128;Grey;B
27-MED7427;;31187;iPhone 6s Plus;16;Pink;B
27-MED7428;;72572;iPhone 6s Plus;32;Pink;B
27-MED7429;;43892;iPhone 6s Plus;64;Pink;B
27-MED7430;;43905;iPhone 6s Plus;128;Pink;B
27-PRE7399;;31256;iPhone 6s Plus;16;Silver;A
27-PRE7400;;72590;iPhone 6s Plus;32;Silver;A
27-PRE7401;;36315;iPhone 6s Plus;64;Silver;A
27-PRE7402;;51809;iPhone 6s Plus;128;Silver;A
27-PRE7403;;31244;iPhone 6s Plus;16;Grey;A
27-PRE7404;;72585;iPhone 6s Plus;32;Grey;A
27-PRE7405;;34270;iPhone 6s Plus;64;Grey;A
27-PRE7406;;51810;iPhone 6s Plus;128;Grey;A
27-PRE7411;;31254;iPhone 6s Plus;16;Pink;A
27-PRE7412;;72587;iPhone 6s Plus;32;Pink;A
27-PRE7413;;51859;iPhone 6s Plus;64;Pink;A
27-PRE7414;;51861;iPhone 6s Plus;128;Pink;A
28-BAS7499;;54748;iPhone 7 Plus;32;Silver;C
28-BAS7500;;54742;iPhone 7 Plus;128;Silver;C
28-BAS7501;;54745;iPhone 7 Plus;256;Silver;C
28-BAS7505;;54717;iPhone 7 Plus;32;Pink;C
28-BAS7506;;54727;iPhone 7 Plus;128;Pink;C
28-BAS7507;;54746;iPhone 7 Plus;256;Pink;C
28-BAS7508;;72624;iPhone 7 Plus;32;Black;C
28-BAS7509;;72628;iPhone 7 Plus;128;Black;C
28-BAS7510;;72626;iPhone 7 Plus;256;Black;C
28-BAS7511;;54725;iPhone 7 Plus;32;Jet Black;C
28-BAS7512;;54720;iPhone 7 Plus;128;Jet Black;C
28-BAS7513;;54760;iPhone 7 Plus;256;Jet Black;C
28-ECO7517;;54749;iPhone 7 Plus;32;Silver;D
28-ECO7518;;54743;iPhone 7 Plus;128;Silver;D
28-ECO7519;;54757;iPhone 7 Plus;256;Silver;D
28-ECO7523;;54718;iPhone 7 Plus;32;Pink;D
28-ECO7524;;54728;iPhone 7 Plus;128;Pink;D
28-ECO7525;;54750;iPhone 7 Plus;256;Pink;D
28-ECO7526;;72629;iPhone 7 Plus;32;Black;D
28-ECO7527;;72631;iPhone 7 Plus;128;Black;D
28-ECO7528;;72632;iPhone 7 Plus;256;Black;D
28-ECO7529;;54729;iPhone 7 Plus;32;Jet Black;D
28-ECO7530;;54721;iPhone 7 Plus;128;Jet Black;D
28-ECO7531;;54761;iPhone 7 Plus;256;Jet Black;D
28-GOL7466;;61803;iPhone 7 Plus;32;Gold;A
28-GOL7467;;61791;iPhone 7 Plus;128;Gold;A
28-GOL7468;;61800;iPhone 7 Plus;256;Gold;A
28-GOL7484;;54735;iPhone 7 Plus;32;Gold;B
28-GOL7485;;54731;iPhone 7 Plus;128;Gold;B
28-GOL7486;;54752;iPhone 7 Plus;256;Gold;B
28-GOL7502;;54736;iPhone 7 Plus;32;Gold;C
28-GOL7503;;54732;iPhone 7 Plus;128;Gold;C
28-GOL7504;;54753;iPhone 7 Plus;256;Gold;C
28-GOL7520;;54739;iPhone 7 Plus;32;Gold;D
28-GOL7521;;54733;iPhone 7 Plus;128;Gold;D
28-GOL7522;;54754;iPhone 7 Plus;256;Gold;D
